,t,ID,VA,PA,QA,VB,PB,QB,VC,PC,QC
0,2022-11-09 00:00:00+11:00,B1,,0.1109592,-0.0774576,,0.0242556,-0.1598016,,0.035745,-0.0314556
1,2022-11-09 00:00:00+11:00,B10,,0.3658752,-0.156021,,,,,,
2,2022-11-09 00:00:00+11:00,B11,,0.1684332,0.0421083,,,,,,
3,2022-11-09 00:00:00+11:00,B12,,0.0910391,0.0563349,,0.009512,0,,0,-0.05955
4,2022-11-09 00:00:00+11:00,B13,,0.152391,-0.237474,,,,,,
5,2022-11-09 00:00:00+11:00,B14,,0.2295658,0.0906868,,,,,,
6,2022-11-09 00:00:00+11:00,B2,,0.1950606,0.1309896,,,,,,
7,2022-11-09 00:00:00+11:00,B3,,0.049266,-0.100436,,0.0347772,-0.123864,,0.287859,0
8,2022-11-09 00:00:00+11:00,B4,,0.040426,-0.171216,,,,,,
9,2022-11-09 00:00:00+11:00,B5,,0.4098545,-0.2968075,,,,,,
10,2022-11-09 00:00:00+11:00,B6,,0.368784,0,,,,,,
11,2022-11-09 00:00:00+11:00,B7,,0.01189,0,,0.0064287,-0.0069049,,0.3648969,0.1766395
12,2022-11-09 00:00:00+11:00,B8,,0.0397992,-0.3603249,,,,,,
13,2022-11-09 00:00:00+11:00,B9,,0,-0.059525,,0.007131,0,,0.0550536,-0.1891281
14,2022-11-09 00:00:00+11:00,HOF,238.07,,,237.99,,,237.64,,
15,2022-11-09 00:05:00+11:00,B1,,0.1138984,-0.0765744,,0.0248144,-0.1627252,,3.308475,0
16,2022-11-09 00:05:00+11:00,B10,,0.3594438,-0.0728892,,,,,,
17,2022-11-09 00:05:00+11:00,B11,,0.1107165,-0.0157146,,,,,,
18,2022-11-09 00:05:00+11:00,B12,,0.0081464,0.004792,,0.011905,0,,0,-0.049665
19,2022-11-09 00:05:00+11:00,B13,,0.149,-0.2386384,,,,,,
20,2022-11-09 00:05:00+11:00,B14,,0.2615549,0.0859087,,,,,,
21,2022-11-09 00:05:00+11:00,B2,,0.196047,0.131652,,,,,,
22,2022-11-09 00:05:00+11:00,B3,,0.0483386,-0.0935663,,0.0264291,-0.1233358,,0.2004174,-0.0855209
23,2022-11-09 00:05:00+11:00,B4,,0.040443,-0.171288,,,,,,
24,2022-11-09 00:05:00+11:00,B5,,0.647462,0,,,,,,
